ID	Nome	Tipo	Material	Datação	Escola ou movimento	Autoria	TIpo de produção	Técnica de Composição	Materiais	Estético	Técnicas de construção/Funcionalidades
112	Modelo Ford A	Design de Produto e Mobilidade	Aço, Borracha e Cromo	1928	Modernismo Norte-Americano / Fordismo de Transição	Henry Ford e Edsel Ford (Ford Motor Company)	Produção industrial	Desenvolvido para suceder o lendário Modelo T, o Modelo Ford A marcou a evolução da Ford Motor Company no agressivo cenário do capitalismo corporativo moderno. Embora mantivesse a essência da linha de montagem contínua visando a democratização e o baixo custo, o novo modelo introduziu uma notável preocupação estética liderada por Edsel Ford. O design teve que responder à turbulência e expansão incontrolada do mercado, que agora exigia variedade além da mera padronização espartana. O veículo ainda se apoiava nos princípios de organização científica do trabalho (taylorismo) para aumentar a produtividade nas fábricas, mas incorporava um perfil mais baixo, linhas elegantes de inspiração Lincoln e acabamentos polidos. A obra representa o exato momento em que a indústria utilitária começou a equilibrar a eficiência da produção em massa com a necessidade de projetar uma nova imagem de conforto e estilo visual para agradar o usuário médio.	Aço, Borracha, Vidro	Minimalista, Liso, Utilitário	Produção seriada, Estampagem, Montagem mecânica, Cromagem
113	Motor V8	Design de Produto	Ferro Fundido e Aço	1932	Modernismo Norte-Americano / Fordismo e Engenharia Industrial	Ford Motor Company (Henry Ford)	Produção industrial	O lançamento do revolucionário motor V8 "Flathead" pelo industrial fundador Henry Ford em 1932 foi um feito tecnológico sem precedentes. Até então, motores de oito cilindros eram exclusividade de veículos de altíssimo luxo devido ao feitio quase artesanal e aos custos proibitivos. Aplicando a vasta experiência adquirida com a linha de montagem contínua e a organização científica do trabalho (taylorismo), focada em eliminar movimentos supérfluos, a engenharia da Ford conseguiu o que muitos julgavam impossível: fundir o complexo bloco do motor V8 em uma única peça inteiriça (monobloco). Diferente de abordagens anteriores, a premissa era oferecer extrema qualidade e alto desempenho através do produto industrial massificado. A obra permitiu o acesso do usuário médio à potência automotiva avançada, evidenciando como a disciplina do design de engenharia respondia perfeitamente às exigências industriais da época e consolidava a democratização do automóvel.	Ferro, Aço, Metal	Geométrico, Utilitário, Industrial, Liso	Fundição, Usinagem, Produção seriada, Montagem mecânica
114	Chevrolet Superior	Design de Produto e Mobilidade	Aço, Madeira, Borracha e Vidro	1923	Modernismo Norte-Americano / Capitalismo Corporativo	General Motors	Produção industrial	O Chevrolet Superior foi lançado pela General Motors como a principal resposta estratégica para desbancar o domínio absoluto do Modelo T. O desenvolvimento deste veículo refletia o iminente problema do capitalismo moderno da época: como inovar e capturar a preferência do consumidor através da variedade num cenário regido pela severa disciplina e padronização. Enquanto a Ford se mantinha rígida na utilidade básica, a GM adotou as mesmas técnicas de linha de montagem contínua e organização científica do trabalho para aumentar a produtividade nas fábricas, mas incorporou a flexibilidade visual e mercadológica como diferencial. O Superior representou uma ação consciente face à turbulência e expansão incontrolada do mercado, oferecendo linhas mais fluidas, conforto e opções que projetavam uma nova imagem de status. A obra prenunciou o foco no estilo ("styling") e na obsolescência estética que definiria o design norte-americano das décadas seguintes, democratizando não apenas a função, mas também o desejo do usuário médio.	Aço, Madeira, Borracha, Vidro	Liso, Utilitário, Transicional	Produção seriada, Estampagem, Montagem mecânica
115	Edifício Seagram	Arquitetura e Interiores	Aço, Vidro e Bronze	1958	Estilo Internacional	Ludwig Mies van der Rohe e Philip Johnson	Design Assinado	Projetado pelo arquiteto oriundo da Bauhaus Ludwig Mies van der Rohe, com interiores desenhados por Philip Johnson (que copromoveu a famosa exposição de 1932 do MoMA dirigida por Alfred H. Barr Jr.), o Edifício Seagram em Nova Iorque é o arquétipo do arranha-céu moderno. Após a dissolução da Bauhaus em 1933, a emigração destes profissionais para os Estados Unidos permitiu a difusão desta estética fundamentada em critérios técnicos do Movimento Moderno. A obra exibe a visão funcionalista do design e uma marcante linha utilitarista e despojada. A fachada ilustra na perfeição o emprego de materiais industriais — especificamente o vidro escurecido e o aço, aqui revestido com vigas de bronze para evitar a oxidação —, revelando a impressionante grelha estrutural do edifício. O projeto tornou-se sinónimo de «bom design» corporativo no pós-guerra, elevando a pureza geométrica à escala monumental.	Aço, Vidro, Bronze, Mármore	Geométrico, Ortogonal, Minimalista, Translúcido, Vidro	Estrutura metálica, Fachada-cortina, Acabamento
116	Casa Eames (Case Study House No. 8)	Arquitetura e Interiores	Aço, Vidro e Painéis Coloridos	1949	Estilo Internacional 	Charles Eames e Ray Eames	Design Assinado	Projetada pelos arquitetos e designers Charles e Ray Eames para o programa Case Study Houses, a Casa Eames é um marco da arquitetura residencial norte-americana. Embora utilize o emprego de materiais industriais característico da visão funcionalista do design, a obra representa uma fascinante reinterpretação do movimento. Os Eames procuraram humanizar o estilo mediante o contraste entre formas geométricas e orgânicas, preenchendo o interior da rigorosa gaiola de aço e vidro com tapetes, plantas, peças folclóricas e texturas quentes. Afastando-se de um vanguardismo excessivamente rigoroso, a estrutura adota painéis opacos brilhantes num arranjo geométrico rítmico. O resultado é um ambiente acolhedor e altamente habitável, tornando-se o sinónimo máximo de «bom design» que unia os critérios formais, técnicos e estéticos do Movimento Moderno à vida doméstica real.	Aço, Vidro, Madeira, Estuque, Elementos naturais	Geométrico, Orgânico, Minimalista, Contraste formal	Montagem pré-fabricada, Construção modular, Integração arquitetônica
117	Glass House (Casa de Vidro)	Arquitetura e Interiores	Aço, Vidro e Tijolo	1949	Estilo Internacional 	Philip Johnson	Design Assinado	Projetada por Philip Johnson — o arquiteto que copromoveu a seminal exposição do MoMA de 1932 e cujo catálogo em coautoria com Russell Hitchcock batizou o "Estilo Internacional" —, a Casa de Vidro é um dos manifestos mais puros da arquitetura doméstica moderna. Profundamente influenciada pelos ideais trazidos pelos docentes emigrados após a dissolução da Bauhaus em 1933, a residência adota de forma inflexível a visão funcionalista do design. A obra leva ao extremo o emprego de materiais industriais, com as suas paredes externas inteiramente constituídas por grandes painéis de vidro transparente sustentados por esbeltos caixilhos de aço escuro. O espaço interno é fluido e desimpedido, interrompido apenas por um cilindro sólido de tijolo. O projeto materializa a linha puramente simples e utilitarista aplicada à arquitetura, transformando a transparência radical e a abstração geométrica no padrão-ouro do «bom design» e dissolvendo a fronteira entre o abrigo humano e a paisagem natural.	Aço, Vidro, Tijolo	Translúcido, Geométrico, Minimalista, Liso	Estrutura metálica, Envidraçamento, Alvenaria estrutural
118	Harvard Graduate Center	Arquitetura e Interiores	Tijolo, Concreto (Betão), Aço e Vidro	1950	Estilo Internacional 	Walter Gropius	Design Assinado	Projetado por Walter Gropius, antigo professor da Bauhaus que emigrou para os Estados Unidos após a dissolução da escola em 1933, este complexo habitacional e estudantil foi o primeiro edifício moderno no tradicional campus de Harvard. No país de acolhimento, Gropius continuou a difundir a filosofia da Bauhaus através de projetos arquitetónicos e do desempenho de cargos de docência de relevo no período pós-guerra. A obra ilustra de forma clara a visão funcionalista do design, adotando uma nítida linha utilitarista e despojada aplicada à arquitetura, rompendo totalmente com o historicismo neogeorgiano da universidade. O projeto faz amplo uso de materiais industriais — especificamente o vidro e o aço aplicados em extensas janelas em fita e caixilhos —, estabelecendo os critérios formais, técnicos e estéticos do Movimento Moderno num ambiente colaborativo que se tornaria rapidamente um modelo de «bom design» institucional.	Tijolo, Concreto, Aço, Vidro	Geométrico, Assimétrico, Minimalista	Construção em concreto, Estrutura metálica, Alvenaria portante, Envidraçamento
119	TWA Flight Center	Arquitetura e Interiores	Concreto (Betão), Vidro e Aço	1962	Estilo Internacional 	Eero Saarinen	Design Assinado	Concebido para o Aeroporto JFK em Nova Iorque, o terminal da TWA é a obra-prima escultural do designer e arquiteto Eero Saarinen. Num período em que a linha puramente utilitarista dominava, Saarinen procurou novas reinterpretações do movimento e atuou fortemente na vertente de humanização do estilo, contrapondo linhas geométricas com expressivos elementos orgânicos. Embora apoie-se nos sólidos critérios formais, técnicos e estéticos do Movimento Moderno e utilize de forma magistral materiais industriais, a obra afasta-se da rigidez ortogonal. A estrutura monumental é encimada por enormes cascas de concreto que simulam as asas de um pássaro gigante prestes a alçar voo, dissolvendo a separação entre paredes e tetos em interiores fluidos. Desafiando a visão funcionalista do design restrita à simples caixa de vidro e aço, Saarinen criou um ícone do «bom design» e do otimismo da Era do Jato, equilibrando precisão industrial com pura emoção visual.	Concreto, Vidro, Aço, Cerâmica	Orgânico, Fluido, Escultural, Dinâmico, Assimétrico	Cofragem, Fundição em concreto, Envidraçamento
120	Ginásio Nacional de Yoyogi	Arquitetura	Concreto (Betão), Aço e Cabos de Suspensão	1964	Estilo Internacional 	Kenzo Tange	Design Assinado	Projetado para acolher os Jogos Olímpicos de Tóquio numa época em que o Estilo Internacional registava o seu apogeu na década de 1960, este complexo monumental é uma obra magistral do arquiteto Kenzo Tange. Em vez de procurar humanizar o estilo, Tange propôs uma profunda reinterpretação em oposição: ele levou a abordagem ao extremo através da desumanização de superfícies e materiais, integrando o impacto tectónico e a escala do estilo brutalista. Apoiado na visão funcionalista do design, o ginásio expõe cruamente os seus massivos apoios de concreto e tira proveito de avançadas técnicas de engenharia ao empregar materiais industriais — especificamente o aço estrutural em forma de cabos de suspensão. O telhado suspenso gera uma dramática curva orgânica que elimina a necessidade de pilares internos. O resultado é uma síntese paradoxal e espetacular dos critérios técnicos do Movimento Moderno europeu com a monumentalidade escultural japonesa.	Concreto, Aço, Vidro	Geométrico, Tensionado, Monumental, Texturizado, Bruto	Fundição em concreto, Engenharia de tração, Montagem estrutural
121	Candeeiro de pé "Toio"	Design de Produto	Aço, Latão e Vidro	1962	Estilo Internacional 	Achille Castiglioni	Design Assinado	Projetado pelo aclamado designer Achille Castiglioni, responsável pela criação do candeeiro de pé Toio em 1962, esta peça é uma obra-prima incontestável do design moderno. No período em que o movimento registava o seu apogeu na década de 1960, Castiglioni apropriou-se da linha puramente simples e utilitarista com um toque de ironia genial através do conceito de objeto ready-made. A obra ilustra de forma brilhante o emprego de materiais industriais, utilizando um farol de automóvel importado de 300 watts como fonte de luz, suportado por uma haste de aço ajustável, passadores de vara de pescar e um transformador deixado propositalmente à vista na base para servir de contrapeso. O design expõe completamente a sua mecânica, elevando a visão funcionalista do design a uma expressão estética despojada, honesta e altamente inovadora que redefiniu o que era considerado «bom design» para o ambiente doméstico moderno.	Aço, Latão, Vidro, Componentes elétricos	Geométrico, Minimalista, Utilitário, Ready-made	Montagem pré-fabricada, Estrutura metálica, Instalação elétrica
122	Bairro Kiefhoek	Arquitetura e Urbanismo	Alvenaria, Estuque e Vidro	1930	Estilo Internacional 	Jacobus Johannes Pieter Oud	Design Assinado	Projetado pelo arquiteto, urbanista e designer Jacobus Johannes Pieter Oud, referenciado entre as figuras de relevo do período, o Bairro Kiefhoek em Roterdão é um marco pioneiro da habitação social europeia. Antecipando a estética do Movimento Moderno e a sua visão funcionalista do design que se consolidaria no Estilo Internacional, o projeto adota uma estrita linha utilitarista e despojada aplicada à arquitetura. Oud aplicou critérios formais, técnicos e estéticos do Movimento Moderno para otimizar o espaço e a luz em moradias compactas destinadas à classe trabalhadora. A obra exibe uma admirável pureza geométrica, com fachadas contínuas de estuque claro, portas padronizadas e cantos suavemente arredondados, consolidando o que viria a ser amplamente reconhecido no pós-guerra como sinónimo de «bom design» acessível e racional.	Alvenaria, Estuque, Vidro, Madeira	Geométrico, Minimalista, Padronizado	Alvenaria portante, Estuque, Padronização, Planejamento urbano
123	Chifonier de Quatro Gavetas (Eames Storage Unit)	Design de Mobiliário	Aço, Contraplacado (Madeira Compensada) e Fibras Moldadas	1950	Estilo Internacional 	Charles Eames e Ray Eames	Produção industrial	Desenvolvido pelos arquitetos e designers norte-americanos Charles e Ray Eames, o chifonier de quatro gavetas (parte da série modular Eames Storage Unit) é uma peça emblemática do mobiliário de meados do século XX. Embora abracem integralmente os critérios formais, técnicos e estéticos do Movimento Moderno, os Eames procuraram humanizar o estilo mediante o contraste entre formas geométricas e orgânicas, preenchendo a rígida malha estrutural com painéis coloridos e a textura natural da madeira. A obra reflete a perfeição na visão funcionalista do design, fazendo um engenhoso emprego de materiais industriais ao combinar uma estrutura aparente de aço com frentes de gaveta de contraplacado moldado. Concebida dentro de uma linha utilitarista e despojada voltada para o mercado de massas, o móvel elevou a arrumação doméstica a um novo patamar de alegria visual, sendo apontado como o mais puro sinónimo de «bom design» residencial nos Estados Unidos.	Aço, Madeira, Fibra de vidro	Geométrico, Orgânico, Modular, Minimalista	Montagem pré-fabricada, Moldagem de madeira, Estampagem, Zincagem
124	Cadeira Tulip (Tulip Chair)	Design de Mobiliário	Fibra de Vidro, Alumínio e Tecido	1956	Estilo Internacional 	Eero Saarinen	Produção industrial	Concebida pelo designer e arquiteto Eero Saarinen, a Cadeira Tulip é um ícone atemporal que desafiou as convenções estéticas e estruturais da sua época. Inserida no contexto onde o Estilo Internacional passou a ser sinónimo de «bom design» nos Estados Unidos, Saarinen também atuou de forma expressiva na vertente de humanização do movimento, contrapondo linhas geométricas rígidas com elementos orgânicos e fluidos. Rejeitando o que chamava de "favelas de pernas" debaixo das mesas típicas da tradicional linha utilitarista e despojada, o autor esculpiu uma peça revolucionária apoiada sobre um único pedestal central, refletindo uma nova e elegante visão funcionalista do design. A obra ilustra magistralmente o emprego de materiais industriais inovadores, aliando uma base estrutural de alumínio a uma concha inteiriça em fibra de vidro, criando um móvel que funde a máxima precisão técnica aos critérios estéticos da biologia moderna.	Fibra de vidro, Alumínio, Espuma, Tecido	Orgânico, Fluido, Escultural, Sem pernas, Minimalista	Fundição, Moldagem, Estofamento
125	Poltrona Eames Lounge Chair and Ottoman	Design de Mobiliário	Madeira, Couro e Alumínio	1956	Estilo Internacional 	Charles Eames e Ray Eames	Produção industrial	Desenvolvida pelos arquitetos e designers Charles e Ray Eames, esta poltrona com pufe é uma das peças mais reverenciadas e confortáveis do mobiliário moderno. No período de pós-guerra, em que o Estilo Internacional passou a ser sinónimo de «bom design» nos Estados Unidos e no norte da Europa, fundamentado em rigorosos critérios formais, técnicos e estéticos do Movimento Moderno, Charles Eames e Ray Eames procuraram humanizar o estilo mediante o contraste entre formas geométricas e orgânicas. Afastando-se das abordagens frias, a obra reflete a estética do Movimento Moderno e a sua visão funcionalista do design aliados ao aconchego de uma luva de basebol usada. O projeto exibe um exímio emprego de materiais industriais, combinando conchas de contraplacado moldado em três dimensões e suportes em alumínio com um sumptuoso estofamento artesanal em couro.	Madeira, Couro, Alumínio	Geométrico, Orgânico, Minimalista, Utilitário	Moldagem de madeira, Fundição, Estofamento
126	Sistema de Prateleiras Universal 606	Design de Mobiliário	Alumínio e Aço	1960	Estilo Internacional 	Dieter Rams	Produção industrial	Projetado para a fabricante Vitsœ pelo mestre alemão Dieter Rams, o designer que concebeu a linha de produtos simples e funcionalistas para a Braun AG, o Sistema 606 é um paradigma imbatível da flexibilidade e da longevidade no mobiliário. Lançado no exato momento em que o movimento registava o seu apogeu na década de 1960, a obra materializa a estética do Movimento Moderno e a sua visão funcionalista do design na gestão do espaço vital moderno. O sistema faz um brilhante emprego de materiais industriais, apoiando-se em discretos perfis E-track em alumínio extrudado dos quais prateleiras, armários e mesas são suspensos. Orientado por critérios formais, técnicos e estéticos do Movimento Moderno, o projeto é a epítome da linha utilitarista e despojada aplicada ao design de interiores. O resultado é um móvel que atua como um pano de fundo neutro e invisível para a vida do usuário, sendo globalmente reconhecido como o mais puro sinónimo de «bom design» atemporal.	Alumínio, Aço, Madeira, Tinta	Modular, Minimalista, Discreto, Utilitário	Produção seriada, Extrusão, Estampagem, Pintura
127	Locomotiva PRR S1	Design de Transportes e Engenharia Ferroviária	Aço e Alumínio	1939	Streamlining	Raymond Loewy	Design Assinado	Projetada para a Pennsylvania Railroad por Raymond Loewy — um dos designers mais proeminentes e responsáveis por consolidar a estética aerodinâmica no ecossistema industrial norte-americano —, a locomotiva PRR S1 é o pináculo do Streamlining ferroviário. O movimento teve origem nos Estados Unidos durante a década de 1930, impulsionado por uma necessidade premente de desenvolvimento e otimização de meios de transporte em massa, tais como aviões, comboios e navios. Esta abordagem colidia diretamente com os ideais funcionais e analíticos do Estilo Internacional europeu (que expunha a mecânica e desmembrava visualmente as partes) ao apresentar uma interpretação da estética da maquinaria que defendia a unidade integrada do todo. Vendo na velocidade a essência da era moderna, Loewy aplicou uma forma ovoidal cónica em sua dianteira para perfurar o ar e reduzir a resistência aerodinâmica. Ao ocultar os mecanismos internos e a complexidade técnica sob carenagens contínuas de aço rígido, a gigantesca locomotiva exibia silhuetas limpas e eficientes que captaram a imaginação do público, convertendo-se num símbolo claro de progresso e modernidade no pavilhão ferroviário da Exposição Mundial de Nova Iorque.	Aço, Alumínio, Vidro	Aerodinâmico, Liso, Contínuo, Unificado	Engenharia de transporte, Estampagem, Montagem mecânica, Soldagem
128	Automóvel Cisitalia 202 GT	Design de Transportes	Alumínio, Aço e Couro	1948	Streamlining	Pinin Farina	Design Assinado	Desenhado pelo lendário Pinin Farina, cuja carroçaria fluida e integrada marcou uma nova era no design automóvel pós-guerra, este veículo é uma obra-prima de proporções. Embora concebido em Itália, o automóvel absorveu e refinou os princípios do movimento norte-americano, oferecendo a mais requintada interpretação da estética da maquinaria até então. Opondo-se ao funcionalismo de outrora que decompunha os objetos em compartimentos separados (para-lamas, faróis, capô), Farina defendia a unidade integrada do todo. Elevando a velocidade como a essência da era moderna, ele unificou a carroçaria numa única escultura lisa, adotando uma variante elegante da forma ovoidal e do teto "fastback" para reduzir drasticamente a resistência aerodinâmica. Ao criar silhuetas limpas e eficientes e ocultar os mecanismos internos e a complexidade técnica sob carenagens contínuas moldadas à mão, o Cisitalia converteu-se num símbolo claro de progresso e modernidade, sendo o primeiro carro do mundo a entrar no acervo permanente do MoMA.	Alumínio, Aço, Vidro, Couro	Aerodinâmico, Oval, Liso, Contínuo, Unificado	Construção manual, Moldagem de metal, Integração monobloco
129	Automóvel Dymaxion	Design de Transportes	Alumínio, Madeira, Aço e Lona	1933	Streamlining	Buckminster Fuller	Design Assinado	Concebido pelo brilhante arquiteto, engenheiro e pensador Buckminster Fuller, o Dymaxion ("Dynamic Maximum Tension") é uma das explorações mais radicais de mobilidade na história. O projeto nasceu inserido no movimento que teve origem nos Estados Unidos durante a década de 1930, marcado por uma necessidade premente de desenvolvimento e otimização de meios de transporte em massa e individuais. Afastando-se das tradicionais carruagens quadradas motorizadas, Fuller implementou uma literal e radical forma em gota/lágrima, que ele considerava a geometria perfeita na natureza para reduzir a resistência aerodinâmica. A obra colidia diretamente com os ideais funcionais analíticos, pois o veículo de três rodas (duas dianteiras de tração e uma traseira para manobras) defendia fortemente a unidade integrada do todo em uma estrutura unificada semelhante a um zeppelin rodoviário. O Dymaxion buscava silhuetas limpas e eficientes de modo a ocultar os mecanismos internos e a complexidade técnica sob carenagens contínuas esguias de alumínio, vendo na máxima eficiência e na velocidade a essência da era moderna e tornando-se um símbolo utópico de progresso.	Alumínio, Madeira, Aço, Vidro	Aerodinâmico, Oval, Liso, Contínuo, Unificado	Estrutura tensionada, Montagem mecânica, Engenharia de chassi
130	Automóvel Stout Scarab	Design de Transportes	Alumínio, Aço e Madeira	1936	Streamlining	William Bushnell Stout	Produção industrial	Desenvolvido pelo engenheiro aeronáutico e designer William Bushnell Stout, o Scarab é amplamente creditado como o primeiro veículo monovolume da história automóvel. Inserido no fervor do movimento que teve origem nos Estados Unidos durante a década de 1930, este automóvel peculiar procurou traduzir os métodos de aviação comercial para o uso civil. Exibindo uma particular interpretação da estética da maquinaria influenciada por aviões de fuselagem larga, Stout eliminou os longos capôs e plataformas de estribo, uma vez que defendia rigorosamente a unidade integrada do todo. O veículo apresenta uma forma ovoidal acentuada semelhante a um escaravelho (daí o seu nome), projetada para maximizar o volume habitável interno e ao mesmo tempo reduzir a resistência aerodinâmica. Buscando silhuetas limpas e eficientes, o autor decidiu ocultar os mecanismos internos e a complexidade técnica (como o motor V8 que foi colocado na parte traseira) sob carenagens contínuas em alumínio sem emendas marcadas. O Scarab revolucionou o conforto em viagem, sendo um símbolo claro de progresso e modernidade familiar muito à frente do seu tempo.	Alumínio, Aço, Madeira	Aerodinâmico, Oval, Liso, Contínuo, Unificado	Estrutura espacial, Montagem artesanal, Engenharia automotiva
131	Câmera Fotográfica Kodak Bantam Special	Design de Produto e Equipamento Fotográfico	Alumínio Esmaltado e Metal	1936	Streamlining	Walter Dorwin Teague	Produção industrial	Desenhada por Walter Dorwin Teague, a Kodak Bantam Special é uma das expressões mais sofisticadas do movimento aplicado a bens de consumo. O movimento teve origem nos Estados Unidos durante a década de 1930 e, com a vasta aceitação popular, a estética da velocidade extrapolou os transportes e foi aplicada de forma massiva a objetos fixos, domésticos e de uso pessoal. Opondo-se ao funcionalismo analítico, Teague projetou a máquina defendendo a unidade integrada do todo. Exibindo uma padronagem de linhas horizontais em esmalte negro e metal polido que evocam o movimento, o design buscava silhuetas limpas e eficientes. A obra exemplifica de forma brilhante como o movimento passou a ocultar os mecanismos internos e a complexidade técnica sob carenagens contínuas. Embora uma câmera não necessite cortar o vento, o Streamlining distanciou-se da sua justificação estritamente técnica, passando a ser empregado como um recurso formal para renovar o estilo externo de um produto e convertendo-o num símbolo claro de progresso e modernidade nas mãos do consumidor.	Alumínio, Esmalte, Aço, Vidro	Aerodinâmico, Liso, Contínuo, Unificado	Usinagem, Pintura, Polimento, Montagem mecânica
132	Pavilhão "Futurama" (Exposição Mundial de Nova Iorque de 1939)	Arquitetura	Gesso, Madeira, Metal e Plástico	1939	Streamlining	Norman Bel Geddes	Design Assinado	Projetado pelo designer industrial de grande relevo Norman Bel Geddes, que consolidou esta prática no ecossistema industrial norte-americano, o "Futurama" foi a atração mais visitada da feira financiada pela General Motors. O projeto materializava a necessidade premente de desenvolvimento e otimização de meios de transporte em massa e vias expressas num cenário de 1960. O movimento via na velocidade a essência da era moderna e Geddes aplicou essa visão em escala colossal, defendendo a unidade integrada do todo nas cidades do amanhã. Apresentando edifícios em forma de gota e rodovias contínuas, a maquete imersiva mostrava silhuetas limpas e eficientes. Este enfoque cenográfico captou de forma arrebatadora a imaginação do público, convertendo-se num símbolo claro de progresso e modernidade que alimentaria o desejo do consumidor e o ciclo ininterrupto de substituição de produtos nas décadas seguintes.	Gesso, Madeira, Metal, Plástico, Tinta	Aerodinâmico, Liso, Contínuo, Unificado	Construção cenográfica, Iluminação, Modelagem arquitetônica
133	Fatiador de Fiambre Hobart Streamliner	Design de Produto	Alumínio Fundido e Aço Inoxidável	1940	Streamlining	Egmont Arens	Produção industrial	Projetado pelo designer Egmont Arens para a Hobart Manufacturing Company, este fatiador comercial demonstra o impacto total da estética aerodinâmica no comércio cotidiano. Com a aceitação popular, a estética da velocidade extrapolou os transportes e foi aplicada de forma massiva a objetos fixos. O equipamento apresenta uma notável forma ovoidal ou em gota/lágrima que, apesar de ser desenvolvida originalmente para reduzir a resistência aerodinâmica em movimento, serviu aqui para evidenciar como o Streamlining distanciou-se da sua justificação estritamente técnica. Arens usou a abordagem como um recurso formal para renovar o estilo externo do produto, defendendo a unidade integrada do todo. Ao ocultar os mecanismos internos (como o motor pesado e as engrenagens) e a complexidade técnica sob carenagens contínuas lisas, o fatiador adotou silhuetas limpas e eficientes que facilitavam a higienização rigorosa e cativavam os clientes da mercearia, servindo como um símbolo claro de higiene, progresso e modernidade.	Alumínio, Aço, Borracha	Aerodinâmico, Oval, Liso, Contínuo, Unificado	Fundição, Polimento, Montagem mecânica
134	Ônibus Greyhound Silversides	Design de Transportes	Alumínio Corrugado e Aço	1940	Streamlining	Raymond Loewy	Produção industrial	Desenhado para a Yellow Coach (General Motors) e operado pela Greyhound Lines por Raymond Loewy — um dos designers mais proeminentes e responsáveis por consolidar a estética aerodinâmica no ecossistema industrial norte-americano —, o Silversides é um ícone das rodovias. O movimento teve origem nos Estados Unidos durante a década de 1930 e foi profundamente marcado por uma necessidade premente de desenvolvimento e otimização de meios de transporte em massa. Opondo-se aos ideais funcionais e analíticos europeus, a obra defendia a unidade integrada do todo. Vendo na velocidade a essência da era moderna, Loewy projetou a estrutura para reduzir a resistência aerodinâmica através de uma forma arredondada e elegante. O veículo procurou ocultar os mecanismos internos e a complexidade técnica sob carenagens contínuas de alumínio corrugado, criando silhuetas limpas e eficientes. O seu visual deslumbrante e cintilante captou a imaginação do público de imediato, convertendo-se num símbolo claro de progresso e modernidade que redefiniu o transporte rodoviário interurbano.	Alumínio, Aço, Vidro, Borracha	Aerodinâmico, Liso, Contínuo, Unificado	Produção seriada, Estampagem, Extrusão, Montagem mecânica
135	Projeto "Airliner Number 4"	Design de Transportes e Engenharia Aeronáutica	Alumínio e Aço (Projetado)	1932	Streamlining	Norman Bel Geddes	Design Assinado	Concebido pelo designer industrial de grande relevo Norman Bel Geddes, o "Airliner Number 4" foi um ambicioso projeto para um avião anfíbio de passageiros de escala titânica. O conceito nasceu da necessidade premente de desenvolvimento e otimização de meios de transporte em massa numa era em que o Estilo Internacional europeu dominava com os seus ideais funcionais e analíticos baseados em estruturas expostas. Em nítido contraste, Geddes defendia a unidade integrada do todo. Considerando que a velocidade era a essência da era moderna, o designer desenhou uma gigantesca asa voadora que assumia a forma ovoidal ou em gota/lágrima perfeita para reduzir a resistência aerodinâmica. O objetivo era abrigar luxuosos conveses de passageiros e ocultar os mecanismos internos e a complexidade técnica (incluindo 20 motores previstos) sob carenagens contínuas. Embora nunca tenha sido construído devido a limitações tecnológicas e financeiras, o projeto apresentava silhuetas limpas e eficientes que captou a imaginação do público, convertendo-se num dos mais poderosos símbolos de progresso e modernidade da aviação utópica.	Alumínio, Aço, Vidro	Aerodinâmico, Oval, Liso, Contínuo, Unificado	Desenho técnico, Engenharia aeronáutica, Simulação
136	Afiador de Lápis (Pencil Sharpener)	Design de Produto	Metal Cromado	1933	Streamlining	Raymond Loewy	Produção industrial	Produção industrial	Metal, Aço	Aerodinâmico, Oval, Liso, Contínuo, Unificado	Fundição, Cromagem, Polimento, Montagem mecânica
137	Aspirador de Pó Electrolux Modelo 30	Design de Produto	Aço Cromado, Alumínio e Couro	1937	Streamlining	Lurelle Guild	Produção industrial	Projetado pelo designer Lurelle Guild, o Electrolux Modelo 30 é um exemplo emblemático de como a estética da velocidade extrapolou os transportes e foi aplicada de forma massiva a objetos fixos e domésticos (como aspiradores). O movimento teve origem nos Estados Unidos durante a década de 1930 e, colidindo diretamente com os ideais funcionais e analíticos europeus que decompunham os objetos em peças conectadas, Guild defendia a unidade integrada do todo. Exibindo as icônicas ranhuras paralelas ("speed lines") e uma ligeira forma ovoidal cônica, a obra demonstra como o Streamlining distanciou-se da sua justificação estritamente técnica (já que o aparelho não enfrentava resistência do ar). O objetivo passou a ser ocultar os mecanismos internos e a complexidade técnica sob carenagens contínuas de metal reluzente. Ao criar silhuetas limpas e eficientes, o eletrodoméstico captou a imaginação do público americano, convertendo-se num símbolo claro de progresso e modernidade nas tarefas diárias do lar.	Aço, Alumínio, Couro, Borracha	Aerodinâmico, Liso, Contínuo, Unificado	Estampagem, Cromagem, Polimento, Montagem mecânica
